train_id,train_number,train_name,source,destination,current_station,next_station,distance_remaining,speed,current_delay,rain,temperature,hour,day_of_week,historical_delay,congestion_level,previous_train_delay,scheduled_travel_time,section_average_speed,unscheduled_stop,speed_restriction,remaining_travel_time,actual_arrival_time
TR00001,12123,Mumbai - Pune Express,Mumbai CST,Pune Jn,Mumbai CST,Dadar,120.84,95.69,21.15,0.292,31.3,18,3,17.52,0.284,14.38,103.58,105.47,0,0,94.45,2026-02-24 19:34
TR00002,11010,Deccan Express,Mumbai CST,Pune Jn,Lonavala,Pune Jn,287.0,84.08,25.73,0.053,22.1,4,2,21.24,0.373,11.14,246.0,85.83,0,0,241.62,2026-02-24 08:01
TR00003,12010,Shatabdi Express,Mumbai Central,Ahmedabad Jn,Vadodara,Ahmedabad Jn,227.86,88.89,28.15,0.189,16.2,4,0,15.09,0.098,12.69,195.31,95.75,1,0,183.35,2026-07-03 07:03
TR00004,12951,Mumbai Rajdhani,Mumbai Central,New Delhi,Mumbai Central,Surat,130.37,78.13,17.74,0.169,25.3,5,5,19.02,0.352,7.08,111.74,77.35,0,0,121.47,2026-06-23 07:01
TR00005,12622,Tamil Nadu Express,New Delhi,Chennai Central,Nagpur,Vijayawada,92.11,53.06,20.16,0.181,21.3,8,3,24.03,0.365,10.21,78.95,53.64,0,0,129.15,2026-08-05 10:09
TR00006,12295,Sanghamitra Express,Bengaluru,Patna Jn,Guntakal Jn,Vijayawada,460.11,52.48,25.23,0.327,21.5,15,6,3.57,0.188,5.66,394.38,59.19,0,0,606.15,2026-05-21 01:06
TR00001,12123,Mumbai - Pune Express,Mumbai CST,Pune Jn,Kalyan,Karjat,124.77,80.89,13.02,0.341,16.3,22,4,12.79,0.192,7.88,106.95,73.17,0,0,117.75,2026-06-11 23:57
TR00002,11010,Deccan Express,Mumbai CST,Pune Jn,Dadar,Kalyan,331.08,95.49,24.51,0.348,29.2,19,0,15.05,0.326,9.02,283.78,104.34,0,0,258.51,2026-06-29 23:18
TR00003,12010,Shatabdi Express,Mumbai Central,Ahmedabad Jn,Borivali,Vapi,107.18,111.32,15.47,0.043,28.0,6,3,17.13,0.564,7.6,91.86,104.57,0,0,71.98,2026-02-04 07:11
TR00004,12951,Mumbai Rajdhani,Mumbai Central,New Delhi,Kota Jn,New Delhi,342.9,75.67,6.41,0.441,29.7,19,1,4.98,0.134,8.59,293.91,73.37,0,0,302.86,2026-06-03 00:02
TR00005,12622,Tamil Nadu Express,New Delhi,Chennai Central,Vijayawada,Chennai Central,389.66,60.61,41.87,0.592,15.7,0,1,49.63,0.051,2.03,333.99,57.66,0,1,580.22,2026-04-19 09:40
TR00006,12295,Sanghamitra Express,Bengaluru,Patna Jn,Guntakal Jn,Vijayawada,193.01,84.56,47.14,0.169,35.1,7,5,17.31,0.35,7.0,165.43,107.08,1,0,196.2,2026-04-05 10:16
TR00001,12123,Mumbai - Pune Express,Mumbai CST,Pune Jn,Lonavala,Pune Jn,143.46,80.75,7.9,0.017,24.7,9,4,13.88,0.103,6.35,122.97,60.21,0,0,114.35,2026-07-07 10:54
TR00002,11010,Deccan Express,Mumbai CST,Pune Jn,Mumbai CST,Dadar,179.98,82.22,26.48,0.183,32.1,6,5,29.57,0.426,25.48,154.27,82.75,0,0,168.86,2026-04-26 08:48
TR00003,12010,Shatabdi Express,Mumbai Central,Ahmedabad Jn,Mumbai Central,Borivali,322.68,76.55,18.95,0.046,38.6,4,3,7.34,0.273,7.21,276.58,71.33,0,0,285.38,2026-07-07 08:45
TR00004,12951,Mumbai Rajdhani,Mumbai Central,New Delhi,Surat,Vadodara,256.85,84.11,28.95,0.023,24.0,11,1,27.69,0.575,8.63,220.16,82.89,0,0,233.37,2026-06-11 14:53
TR00005,12622,Tamil Nadu Express,New Delhi,Chennai Central,Nagpur,Vijayawada,205.95,58.64,0.0,0.292,44.3,10,6,1.5,0.108,4.43,176.53,48.63,0,0,223.61,2026-06-02 13:43
TR00006,12295,Sanghamitra Express,Bengaluru,Patna Jn,Bengaluru,Guntakal Jn,285.89,43.92,27.52,0.071,31.7,7,1,11.56,0.151,13.78,245.05,42.98,0,1,525.42,2026-02-27 15:45
TR00001,12123,Mumbai - Pune Express,Mumbai CST,Pune Jn,Lonavala,Pune Jn,89.87,60.08,33.27,0.448,27.3,19,3,14.31,0.357,3.81,77.03,66.51,0,0,117.5,2026-06-28 20:57
TR00002,11010,Deccan Express,Mumbai CST,Pune Jn,Kalyan,Lonavala,120.8,72.12,13.28,0.049,30.3,1,3,32.15,0.066,1.13,103.54,75.18,0,0,110.99,2026-02-04 02:50
TR00003,12010,Shatabdi Express,Mumbai Central,Ahmedabad Jn,Vadodara,Ahmedabad Jn,555.3,78.52,25.38,0.366,20.2,11,6,10.53,0.391,16.89,475.97,76.25,0,0,515.9,2026-01-09 19:35
TR00004,12951,Mumbai Rajdhani,Mumbai Central,New Delhi,Mumbai Central,Surat,366.26,75.14,15.67,0.266,31.0,18,3,21.46,0.478,9.65,313.94,82.62,0,0,354.41,2026-07-20 23:54
